dataset,baseline_run,baseline_label,run,label,n,r_l1_mean,r_l1_p95,r_psnr_mean,r_psnr_p95,l_l1_mean,l_l1_p95,r_mean_delta_mean,r_mean_delta_p95,r_tv_to_input_delta_mean,r_tv_to_input_delta_p95,l_corr_delta_mean,l_corr_delta_p95
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-102043,r0.3-a2-sm0.1v1,250,0.07150327609479427,0.10188203155994412,21.988276750531362,25.53748877110305,0.01492245270870626,0.019375775195658203,0.058880709528923034,0.08424985259771345,1.6730046126411686,3.277959697307907,-0.0037478972577258823,0.0008330523117912534
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_0.3r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-123043,r0.3-a2-sm0.5v1,250,0.109178207218647,0.16365184709429742,17.943914464726085,22.357439034982526,0.019177348360419275,0.023762312904000275,0.08762576401233674,0.13692500144243236,18.918486712054463,44.644970151018846,-0.0065618400928694745,-0.0012006967873794364
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,250,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260716-060543,r1-a2-sm0.1v1,250,0.011606849208474159,0.019218428060412403,36.24715938321476,39.47362722182687,0.002947634634561837,0.005213671014644205,-0.010261456847190858,-0.006360059976577761,0.21602130768339836,0.4277432176378789,-0.0021861055534810347,-0.0005605194179319655
BDDnight,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260715-233953,r1-a2-sm0v1,BDDnight_1.0r_0.05anchorv2_0.05bdsp_0.5smv1_20260716-081309,r1-a2-sm0.5v1,250,0.027233543179929258,0.03584758825600147,28.682973455190705,30.85467012389641,0.008170438685454428,0.014776324806734912,-0.01444444990158081,0.006489673256874072,0.5903204000713973,0.8685061700730861,-0.010198466228258336,-0.004700770996583705
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-115707,r0.3-a2-sm0.1v1,100,0.10571744985878467,0.13784593641757964,18.079585607623955,20.151584517464332,0.017835764978080988,0.0255208108574152,0.0785487112402916,0.10311376154422759,0.5495716677578166,1.4426056602808974,-0.0015023362051817036,0.01517281052647371
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_0.7r_0.1anchorv2_0.08bdsp_0.1smv2_20260724-012046,r0.7-a2-sm0.1v2,100,0.07517317950725555,0.0882703736424446,21.00840942441149,22.444292947283216,0.013906856090761721,0.02190890796482563,0.062043503522872925,0.08369391858577728,0.7074575008415327,1.4465388418173126,0.00391262317874846,0.014987043606449472
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260723-151945,r1-a1-sm0v1,100,0.006768989488482475,0.0083162035793066,40.936670319702955,42.64371821411344,0.0005793503329914528,0.001459272881038487,-0.0019916492700576783,0.0010464668273925779,-0.031414255424067145,0.08686761505107322,-0.0005868802711400845,0.0006657792448681472
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,100,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-215946,r1-a2-sm0.1v1,100,0.00992062977515161,0.01471828194335103,37.71234626264895,40.45123955443393,0.0010907660267548635,0.0017764699063263834,0.0024865177273750306,0.00805968791246414,0.010177111933346774,0.23469391293388286,-0.0039128354504249,-0.0005317355047557282
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.08bdsp_0.1smv2_20260724-044405,r1-a2-sm0.1v2,100,0.02741760676726699,0.037497165612876415,29.093141374950292,31.474662936393486,0.004170936476439238,0.00621524192392826,-0.022448422312736513,-0.014895987510681153,-0.6987339334050081,-0.19236685683827542,-0.010403262898664369,-0.0019513296766860647
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,r1-a2-sm0.1v2,100,0.0375233593955636,0.048872412741184236,26.412736754782774,28.34740017101139,0.0057777658628765495,0.008755610790103674,-0.03083690643310547,-0.018851673603057884,-0.9148389101687497,-0.28680202240118446,-0.012108869273140388,-0.0022694627159013992
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.05smv2_20260724-113129,r1-a2-sm0.05v2,100,0.039062843825668096,0.04990577995777128,27.192595307102316,28.725394424045856,0.006526515267323702,0.011379465693607926,0.03847393900156021,0.049751827120780925,0.7313807468316056,1.260849977334939,0.0002619618663041245,0.004054772329059431
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.1smv2_20260724-145502,r1-a2-sm0.1v2,100,0.0387684777751565,0.049985858425498,27.234302984476518,28.565614779105754,0.006786663455422968,0.011556050227954983,0.037998504638671875,0.04979290068149566,0.7052786179351075,1.091773438613979,-0.0020022752479258886,0.00255696828615729
LOLv2,LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.2smv2_20260724-181848,r1-a2-sm0.2v2,100,0.03915972221642733,0.0472340852022171,26.955209186096276,28.195772988718204,0.0068098043464124205,0.011538371769711375,0.037874146699905395,0.04687741100788116,0.7268736505810423,1.1211691934573602,-0.007099911282997426,-0.001603422888207068
